Team,Year,Seed,Games Won,Tempo Rating,Tempo Ranking
Grambling State,2024,16,0.5,64.8,324
Alabama,2023,1,2,72.6,4
Arizona,2023,2,0,72,13
Baylor,2023,3,1,66.5,215
Virginia,2023,4,0,61.5,360
San Diego State,2023,5,5,65.7,262
Creighton,2023,6,3,67.8,143
Missouri,2023,7,1,68.7,102
Maryland,2023,8,1,64.2,326
West Virginia,2023,9,0,68.5,116
Utah State,2023,10,0,68.6,111
NC State,2023,11,0,69,91
Charleston,2023,12,0,70.8,29
Furman,2023,13,1,68.3,129
UCSB,2023,14,0,64.7,305
Princeton,2023,15,2,66.9,187
Texas A&M-CC,2023,16,0.5,69,88
SEMO,2023,16,0,72.3,7
Purdue,2023,1,0,64.2,324
Marquette,2023,2,1,68.1,136
Kansas State,2023,3,3,70.1,42
Tennessee,2023,4,2,65.1,288
Duke,2023,5,1,64.9,298
Kentucky,2023,6,1,65.8,256
Michigan State,2023,7,2,64.7,306
Memphis,2023,8,0,71.1,22
Florida Atlantic,2023,9,4,67.6,158
USC,2023,10,0,68,140
Providence,2023,11,0,66.7,202
Oral Roberts,2023,12,0,70.2,40
Louisiana,2023,13,0,68.3,124
Montana State,2023,14,0,66.3,221
Vermont,2023,15,0,64.4,318
Texas Southern,2023,16,0,69.1,76
Fairleigh Dickinson,2023,16,1.5,68.7,106
Houston,2023,1,2,63.5,339
Texas,2023,2,3,68.8,98
Xavier,2023,3,2,70.5,33
Indiana,2023,4,1,67.8,145
Miami,2023,5,4,68.8,97
Iowa State,2023,6,0,64.1,328
Texas A&M,2023,7,0,65.9,245
Iowa,2023,8,0,69.5,63
Auburn,2023,9,1,67.6,160
Penn State,2023,10,1,64.3,320
Mississippi State,2023,11,0,63.6,336
Pittsburgh,2023,11,1.5,67.3,171
Drake,2023,12,0,66.3,220
Kent State,2023,13,0,67.7,154
Kennesaw State,2023,14,0,68.4,121
Colgate,2023,15,0,67.5,164
Northern Kentucky,2023,16,0,62,356
Kansas,2023,1,1,69.2,75
UCLA,2023,2,2,66.1,235
Gonzaga,2023,3,3,70.3,39
UConn,2023,4,6,66.6,204
Saint Mary's,2023,5,1,61.6,359
TCU,2023,6,1,69.7,48
Northwestern,2023,7,1,64.4,315
Arkansas,2023,8,2,69.6,49
Illinois,2023,9,0,69.5,58
Boise State,2023,10,2,66.2,223
Arizona State,2023,11,0.5,68.1,137
Nevada,2023,11,0,65.9,246
VCU,2023,12,0,67.9,142
Iona,2023,13,0,68.7,103
Grand Canyon,2023,14,0,65,293
UNC Ashville,2023,15,0,68.3,125
Howard,2023,16,0,69,87
Gonzaga,2022,1,2,72.5,5
Duke,2022,2,4,67.3,172
Texas Tech,2022,3,2,66.5,218
Arkansas,2022,4,3,70.7,28
UConn,2022,5,0,64.8,300
Alabama,2022,6,0,71.9,11
Michigan State,2022,7,1,67.5,147
Boise State,2022,8,0,64.4,318
Memphis,2022,9,1,69.9,49
Davidson,2022,10,0,64.7,307
Rutgers,2022,11,0,64.9,295
Notre Dame,2022,11,1.5,65.6,258
New Mexico State,2022,12,1,66.1,238
Vermont,2022,13,0,64.9,292
Montana State,2022,14,0,67.5,153
Cal State Fullerton,2022,15,0,66.1,242
Georgia State,2022,16,0,67.3,169
Baylor,2022,1,1,67.4,163
Kentucky,2022,2,0,67.5,150
Purdue,2022,3,2,66.1,237
UCLA,2022,4,2,65.2,277
Saint Mary's,2022,5,1,63.6,339
Texas,2022,6,1,63.8,336
Murray State,2022,7,1,66.1,241
North Carolina,2022,8,5,70.2,39
Marquette,2022,9,0,70.9,25
San Francisco,2022,10,0,68.9,82
Virginia Tech,2022,11,0,63.3,340
Wyoming,2022,12,0,66.1,239
Indiana,2022,12,0.5,67.2,175
Akron,2022,13,0,62.1,352
Yale,2022,14,0,68.8,88
Saint Peter's,2022,15,3,65.9,247
Norfolk State,2022,16,0,66.8,198
Arizona,2022,1,2,72.2,9
Villanova,2022,2,4,62.3,347
Tennessee,2022,3,1,67.4,157
Illinois,2022,4,1,67.2,179
Houston,2022,5,3,63.6,338
Colorado State,2022,6,0,65.4,270
Ohio State,2022,7,1,65,289
Seton Hall,2022,8,0,67.3,167
TCU,2022,9,1,65.9,246
Loyola Chicago,2022,10,0,64.7,308
Michigan,2022,11,2,66.7,203
UAB,2022,12,0,68.9,79
Chattanooga,2022,13,0,64.7,304
Longwood,2022,14,0,66.1,236
Delaware,2022,15,0,66.7,204
Wright State,2022,16,0.5,68.9,85
Bryant,2022,16,0,72.6,4
Kansas,2022,1,6,69.3,65
Auburn,2022,2,1,70.1,42
Wisconsin,2022,3,1,66.5,215
Providence,2022,4,2,65.2,276
Iowa,2022,5,0,69.7,53
LSU,2022,6,0,68.6,101
USC,2022,7,0,66.2,231
San Diego State,2022,8,0,65.4,268
Creighton,2022,9,1,67.2,178
Miami,2022,10,3,67.7,134
Iowa State,2022,11,2,66.3,226
Richmond,2022,12,1,66.8,197
South Dakota State,2022,13,0,69.4,61
Colgate,2022,14,0,67.2,177
Jacksonville State,2022,15,0,65.1,283
Texas Southern,2022,16,0.5,68.2,113
Texas A&M-CC,2022,16,0,69.4,63
Gonzaga,2021,1,5,73.8,7
Iowa,2021,2,1,69.9,93
Kansas,2021,3,1,68.2,174
Virginia,2021,4,0,59.9,357
Creighton,2021,5,2,68.7,144
USC,2021,6,3,67,235
Oregon,2021,7,2,67.2,226
Oklahoma,2021,8,1,67.1,228
Missouri,2021,9,0,68.4,163
VCU,2021,10,0,69.6,107
Wichita State,2021,11,0,67,234
Drake,2021,11,0.5,66.3,271
UCSB,2021,12,0,65.6,301
Ohio,2021,13,1,69.2,123
Eastern Washington,2021,14,0,72.2,27
Grand Canyon,2021,15,0,64.9,319
Norfolk State,2021,16,0.5,67.5,211
Appalachian State,2021,16,0,65.5,310
Michigan,2021,1,3,66.6,256
Alabama,2021,2,2,73.3,11
Texas,2021,3,0,68.6,146
Florida State,2021,4,2,69.9,90
Colorado,2021,5,1,66.1,276
BYU,2021,6,0,67.6,206
UConn,2021,7,0,65.5,309
LSU,2021,8,1,70.6,70
St. Bonaventure,2021,9,0,64.8,320
Maryland,2021,10,1,64.7,321
Michigan State,2021,11,0,68.3,164
UCLA,2021,11,4.5,63.8,341
Georgetown,2021,12,0,69.7,101
UNC Greensboro,2021,13,0,68,183
Abilene Christian,2021,14,1,69.3,115
Iona,2021,15,0,67.7,199
Mount St. Mary's,2021,16,0,61.6,356
Texas Southern,2021,16,0.5,71.5,45
Baylor,2021,1,6,67.4,213
Ohio State,2021,2,0,66.7,251
Arkansas,2021,3,3,72.6,19
Purdue,2021,4,0,66.1,278
Villanova,2021,5,2,64.2,336
Texas Tech,2021,6,1,65.1,316
Florida,2021,7,1,68.3,167
North Carolina,2021,8,0,71.5,43
Wisconsin,2021,9,1,64.6,328
Virginia Tech,2021,10,0,65.7,298
Utah State,2021,11,0,68.6,149
Winthrop,2021,12,0,73.1,14
North Texas,2021,13,1,62.7,350
Colgate,2021,14,0,72.2,26
Oral Roberts,2021,15,2,71.4,46
Hartford,2021,16,0,66.9,243
Illinois,2021,1,1,70.5,79
Houston,2021,2,4,64.4,332
West Virginia,2021,3,1,69.2,122
Oklahoma State,2021,4,1,72.2,24
Tennessee,2021,5,0,67.1,232
San Diego State,2021,6,0,65.5,307
Clemson,2021,7,0,64,337
Loyola Chicago,2021,8,2,63.7,342
Georgia Tech,2021,9,0,67.3,223
Rutgers,2021,10,1,67.4,214
Syracuse,2021,11,2,68.6,151
Oregon State,2021,12,3,65.5,306
Liberty,2021,13,0,63.1,347
Morehead State,2021,14,0,65.2,314
Cleveland State,2021,15,0,66.1,279
Drexel,2021,16,0,63.9,340
